40, 68, 1
81, 27, 1
55, 53, 1
68, 40, 1
54, 54, 2
27, 81, 2
53, 55, 2
80, 28, 2
55, 53, 1
41, 67, 1
55, 53, 1
55, 53, 1
66, 42, 2
40, 68, 2
41, 67, 2
55, 53, 2
13, 95, 2
68, 40, 1
27, 81, 2
41, 67, 2
55, 53, 1
66, 42, 2
81, 27, 1
40, 68, 2
67, 41, 2
54, 54, 1
54, 54, 1
54, 54, 2
80, 28, 1
28, 80, 2
81, 27, 1
67, 41, 2
80, 28, 2
40, 68, 2
53, 55, 1
56, 52, 1
27, 81, 2
53, 55, 1
53, 55, 1
54, 54, 2
81, 27, 1
27, 81, 1
40, 68, 2
26, 82, 2
40, 68, 2
27, 81, 2
53, 55, 2
55, 53, 1
68, 40, 1
80, 28, 2
81, 27, 2
41, 67, 2
55, 53, 1
68, 40, 1
94, 14, 1
68, 40, 1
67, 41, 2
40, 68, 1
81, 27, 1
54, 54, 1
55, 53, 1
55, 53, 1
95, 13, 1
55, 53, 2
81, 27, 1
68, 40, 2
68, 40, 2
14, 94, 2
39, 69, 2
27, 81, 2
53, 55, 2
26, 82, 2
26, 82, 2
53, 55, 2
27, 81, 2
67, 41, 2
40, 68, 1
67, 41, 1
26, 82, 2
53, 55, 2
68, 40, 2
81, 27, 1
67, 41, 1
81, 27, 1
42, 66, 1
54, 54, 2
67, 41, 1
53, 55, 1
55, 53, 1
67, 41, 2
41, 67, 1
14, 94, 2
55, 53, 1
42, 66, 1
13, 95, 2
66, 42, 2
41, 67, 2
54, 54, 2
55, 53, 1
41, 67, 1
41, 67, 2
69, 39, 1
39, 69, 2
82, 26, 1
69, 39, 1
67, 41, 2
66, 42, 2
54, 54, 1
68, 40, 2
81, 27, 2
41, 67, 2
67, 41, 1
67, 41, 2
41, 67, 2
54, 54, 2
68, 40, 2
53, 55, 1
68, 40, 1
41, 67, 1
53, 55, 1
68, 40, 1
56, 52, 1
40, 68, 2
54, 54, 1
67, 41, 1
82, 26, 1
55, 53, 1
41, 67, 2
41, 67, 2
54, 54, 1
81, 27, 1
28, 80, 2
27, 81, 2
54, 54, 2
40, 68, 2
80, 28, 1
67, 41, 1
55, 53, 2
67, 41, 1
54, 54, 2
68, 40, 2
26, 82, 2
68, 40, 1
95, 13, 2
68, 40, 2
81, 27, 2
